"raw_author_label","raw_year","normalized_source_id","effect_rows","hop_codes_present","source_locators","full_citation","title","container","doi","stable_url","resolution_status","resolution_confidence","candidate_count","disambiguation_basis","notes"
"Bever 1994","1994","doi:10.2307/1941601","12","HU","Figure 3a","Bever 1994. Feeback between Plants and Their Soil Communities in an Old Field Community. Ecology. https://doi.org/10.2307/1941601","Feeback between Plants and Their Soil Communities in an Old Field Community","Ecology","10.2307/1941601","https://doi.org/10.2307/1941601","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): SC","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Holah and Alexander 1999","1999","doi:10.1046/j.1365-2745.1999.00383.x","4","H2","Figure 1b | Figure 1d","Holah and Alexander 1999. Soil pathogenic fungi have the potential to affect the co‐existence of two tallgrass prairie species. Journal of Ecology. https://doi.org/10.1046/j.1365-2745.1999.00383.x","Soil pathogenic fungi have the potential to affect the co‐existence of two tallgrass prairie species","Journal of Ecology","10.1046/j.1365-2745.1999.00383.x","https://doi.org/10.1046/j.1365-2745.1999.00383.x","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Peltzer 2001","2001","unresolved:peltzer-2001-2001","2","H1","Figure 2","","","","","","ambiguous","ambiguous","3","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Troelstra et al. 2001","2001","unresolved:troelstra-et-al-2001-2001","4","H2","Author","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Klironomos 2002","2002","doi:10.1038/417067a","61","HU","Author","Klironomos 2002. Feedback with soil biota contributes to plant rarity and invasiveness in communities. Nature. https://doi.org/10.1038/417067a","Feedback with soil biota contributes to plant rarity and invasiveness in communities","Nature","10.1038/417067a","https://doi.org/10.1038/417067a","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Van der Stoel et al. 2002","2002","doi:10.1046/j.1365-2745.2002.00727.x","1","H2","Figure 2","Van der Stoel et al. 2002. Development of a negative plant–soil feedback in the expansion zone of the clonal grass <i>Ammophila arenaria</i> following root formation and nematode colonization. Journal of Ecology. https://doi.org/10.1046/j.1365-2745.2002.00727.x","Development of a negative plant–soil feedback in the expansion zone of the clonal grass <i>Ammophila arenaria</i> following root formation and nematode colonization","Journal of Ecology","10.1046/j.1365-2745.2002.00727.x","https://doi.org/10.1046/j.1365-2745.2002.00727.x","doi_resolved","moderate","1","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Beckstead and Parker 2003","2003","unresolved:beckstead-and-parker-2003-2003","2","H2","Figure 2","","","","","","ambiguous","ambiguous","1","multiple plausible exact-author/year candidates remain; no unique evidence-supported choice","Candidate evidence is preserved in source-candidates.json; no bibliographic identity is asserted."
"Reinhart et al. 2003","2003","doi:10.1046/j.1461-0248.2003.00539.x","8","H2","Figure 2b","Reinhart et al. 2003. Plant–soil biota interactions and spatial distribution of black cherry in its native and invasive ranges. Ecology Letters. https://doi.org/10.1046/j.1461-0248.2003.00539.x","Plant–soil biota interactions and spatial distribution of black cherry in its native and invasive ranges","Ecology Letters","10.1046/j.1461-0248.2003.00539.x","https://doi.org/10.1046/j.1461-0248.2003.00539.x","doi_resolved","high","1","unique candidate present in published PSF reference pool(s): S","Resolution is bibliographic only; it does not replace primary-method hop coding."
"Callaway et al. 2004b Nature","2004","doi:10.1038/nature02322","8","H2|HU","Figure 1 | Figure 2","Callaway et al. 2004b Nature. Soil biota and exotic plant invasion. Nature. https://doi.org/10.1038/nature02322","Soil biota and exotic plant invasion","Nature","10.1038/nature02322","https://doi.org/10.1038/nature02322","doi_resolved","high","4","raw label journal suffix uniquely matched Nature","Resolution is bibliographic only; it does not replace primary-method hop coding."
"De Deyn et al. 2004a","2004","doi:10.1111/j.0022-0477.2004.00924.x","13","H2","Author","De Deyn et al. 2004a. Plant community development is affected by nutrients and soil biota. Journal of Ecology. https://doi.org/10.1111/j.0022-0477.2004.00924.x","Plant community development is affected by nutrients and soil biota","Journal of Ecology","10.1111/j.0022-0477.2004.00924.x","https://doi.org/10.1111/j.0022-0477.2004.00924.x","doi_resolved","moderate","2","unique plant-soil topical candidate for exact first author and year","Resolution is bibliographic only; it does not replace primary-method hop coding."
